date,under 20,20-39,40-49,50-59,60-69,70,health_authority
2021-04-16,0,0,0,0,0,0,eastern_ha
2021-04-15,0,0,0,0,0,0,eastern_ha
2021-04-08,0,0,0,0,0,0,eastern_ha
2021-04-05,0,0,0,0,0,0,eastern_ha
2021-04-01,0,0,0,0,0,0,eastern_ha
2021-03-15,0,0,0,0,0,0,eastern_ha
2021-03-14,0,0,0,0,0,0,eastern_ha
2021-03-13,0,0,0,0,0,0,eastern_ha
2021-03-12,0,0,0,0,0,0,eastern_ha
2021-03-11,0,0,0,0,0,0,eastern_ha
2021-03-10,0,0,0,0,0,0,eastern_ha
2021-03-09,0,0,0,0,0,0,eastern_ha
2021-03-08,0,0,1,0,1,1,eastern_ha
2021-03-07,0,0,0,0,0,0,eastern_ha
2021-03-06,0,0,0,0,0,0,eastern_ha
2021-03-05,0,0,0,0,0,0,eastern_ha
2021-03-04,0,0,1,2,1,0,eastern_ha
2021-03-03,0,2,0,1,0,0,eastern_ha
2021-03-02,0,0,1,1,0,2,eastern_ha
2021-03-01,0,0,0,0,0,0,eastern_ha
2021-02-28,1,4,1,1,0,0,eastern_ha
2021-02-26,0,1,0,0,1,1,eastern_ha
2021-02-25,2,2,4,1,1,0,eastern_ha
2021-02-23,2,1,8,2,1,1,eastern_ha
2021-02-22,4,1,2,4,1,0,eastern_ha
2021-02-21,13,1,6,3,2,0,eastern_ha
2021-02-20,14,7,13,3,0,1,eastern_ha
2021-02-19,11,18,16,7,6,2,eastern_ha
2021-02-18,12,11,10,12,0,3,eastern_ha
2021-02-17,14,8,9,5,4,2,eastern_ha
2021-02-16,2,1,2,0,0,1,eastern_ha
2021-02-15,1,0,1,0,2,2,eastern_ha
2021-02-14,3,2,2,3,0,0,eastern_ha
2021-02-13,9,2,9,0,3,3,eastern_ha
2021-02-12,20,4,16,3,2,2,eastern_ha
2021-02-11,74,10,4,6,1,4,eastern_ha
2021-02-10,0,4,4,1,0,0,eastern_ha
2021-02-09,0,2,5,6,1,2,eastern_ha
2021-02-08,0,0,4,1,0,1,eastern_ha
2021-02-07,0,0,0,0,0,0,eastern_ha
2021-02-06,0,0,0,0,0,0,eastern_ha
2021-02-04,0,0,0,0,0,0,eastern_ha
2021-02-03,0,0,0,0,0,0,eastern_ha
2020-12-09,0,0,0,0,0,0,eastern_ha
2020-04-30,0,0,0,0,0,0,eastern_ha
2022-01-17,4,15,4,6,2,8,central_ha
2022-01-14,2,3,4,6,2,9,central_ha
2022-01-13,5,19,7,8,4,9,central_ha
2022-01-12,4,11,9,6,7,7,central_ha
2022-01-11,5,4,5,4,2,1,central_ha
2022-01-10,15,12,7,12,6,7,central_ha
2022-01-07,18,20,6,14,13,10,central_ha
2022-01-06,21,25,31,29,28,20,central_ha
2022-01-05,4,6,4,6,3,7,central_ha
2022-01-04,5,15,9,9,13,6,central_ha
2022-01-03,8,14,15,10,9,8,central_ha
2021-12-31,10,8,2,10,3,4,central_ha
2021-12-30,6,10,13,12,8,4,central_ha
2021-12-29,10,13,9,6,6,5,central_ha
2021-12-24,0,1,1,2,3,1,central_ha
2021-12-23,3,3,2,6,3,2,central_ha
2021-12-22,3,0,3,2,1,1,central_ha
2021-12-21,3,2,2,0,1,2,central_ha
2021-12-20,1,8,0,0,0,1,central_ha
2021-12-19,3,6,3,3,1,0,central_ha
2021-12-17,0,2,2,0,0,0,central_ha
2021-12-15,0,0,0,1,0,0,central_ha
2021-12-13,5,4,2,0,0,0,central_ha
2021-12-08,0,0,0,0,1,0,central_ha
2021-12-03,0,1,0,3,0,0,central_ha
2021-11-29,2,0,0,0,0,0,central_ha
2021-11-26,0,1,0,0,0,0,central_ha
2021-11-24,0,0,0,1,0,1,central_ha
2021-11-22,1,1,0,0,0,0,central_ha
2021-11-19,0,1,2,0,0,0,central_ha
2021-11-17,0,0,1,1,0,1,central_ha
2021-11-15,0,0,0,0,0,0,central_ha
2021-11-12,1,1,0,0,3,0,central_ha
2021-11-10,2,0,0,1,0,1,central_ha
2021-11-08,0,0,2,2,1,0,central_ha
2021-11-05,0,1,1,0,0,1,central_ha
2021-11-03,0,0,0,0,0,0,central_ha
2021-11-01,0,0,0,1,0,0,central_ha
2021-10-29,0,1,0,1,0,1,central_ha
2021-10-27,1,0,0,0,2,0,central_ha
2021-10-25,0,1,0,0,0,0,central_ha
2021-10-22,1,0,0,0,1,1,central_ha
2021-10-20,0,0,0,1,0,0,central_ha
2021-10-18,0,0,2,0,0,0,central_ha
2021-10-15,0,0,1,0,0,0,central_ha
2021-10-13,1,0,0,0,0,0,central_ha
2021-10-12,1,3,1,2,3,2,central_ha
2021-10-08,0,1,0,2,2,0,central_ha
2021-10-07,0,2,1,1,1,0,central_ha
2021-10-06,2,2,0,0,2,1,central_ha
2021-10-05,0,0,0,1,1,0,central_ha
2021-10-04,1,2,3,4,0,3,central_ha
2021-10-02,1,1,1,1,1,1,central_ha
2021-10-01,5,4,2,5,4,11,central_ha
2021-09-29,1,1,3,1,2,7,central_ha
2021-09-28,0,0,0,0,0,0,central_ha
2021-09-27,9,2,1,5,3,2,central_ha
2021-09-26,0,0,0,0,0,0,central_ha
2021-09-25,0,0,0,0,0,0,central_ha
2021-09-24,2,10,7,8,4,8,central_ha
2021-09-22,0,0,0,1,0,1,central_ha
2021-09-21,1,1,2,2,1,1,central_ha
2021-09-20,0,1,2,2,1,6,central_ha
2021-09-17,0,1,1,1,1,2,central_ha
2021-09-15,0,0,1,1,0,1,central_ha
2021-09-13,1,0,0,1,0,0,central_ha
2021-09-10,1,0,0,1,0,1,central_ha
2021-09-06,0,1,0,0,1,0,central_ha
2021-08-30,0,0,0,0,1,0,central_ha
2021-08-13,0,0,0,0,0,0,central_ha
2021-08-02,0,0,0,0,0,0,central_ha
2021-06-02,0,1,1,0,0,0,central_ha
2021-05-30,0,1,0,0,0,0,central_ha
2021-05-29,0,2,0,0,0,0,central_ha
2021-05-28,0,0,0,1,1,0,central_ha
2021-05-23,0,2,0,0,0,0,central_ha
2021-05-22,0,0,0,0,0,0,central_ha
2021-05-21,0,0,0,0,0,0,central_ha
2021-05-20,0,0,0,0,0,0,central_ha
2021-05-15,0,0,0,0,0,0,central_ha
2021-05-13,0,0,0,0,0,0,central_ha
2021-05-12,0,0,0,0,0,0,central_ha
2021-05-11,0,0,0,0,0,0,central_ha
2021-05-09,0,0,0,0,0,0,central_ha
2021-05-08,0,0,0,0,0,0,central_ha
2021-05-07,0,0,0,0,0,0,central_ha
2021-04-30,0,0,0,0,0,0,central_ha
2021-04-28,0,0,0,0,0,0,central_ha
2021-04-26,0,0,0,0,0,0,central_ha
2021-04-24,0,0,0,0,0,0,central_ha
2021-04-22,0,0,0,0,0,0,central_ha
2021-04-21,0,0,0,0,0,0,central_ha
2021-04-16,0,0,0,0,0,0,central_ha
2021-04-15,0,0,0,0,0,0,central_ha
2021-04-08,0,0,0,0,0,0,central_ha
2021-04-05,0,0,0,0,0,0,central_ha
2021-04-01,0,0,0,0,0,0,central_ha
2021-03-15,0,0,0,0,0,0,central_ha
2021-03-14,0,0,0,0,0,0,central_ha
2021-03-13,0,0,0,0,0,0,central_ha
2021-03-12,0,0,0,0,0,0,central_ha
2021-03-11,0,0,0,0,0,0,central_ha
2021-03-10,0,0,0,0,0,0,central_ha
2021-03-09,0,0,0,0,0,0,central_ha
2021-03-08,0,0,0,0,0,0,central_ha
2021-03-07,0,0,0,0,0,0,central_ha
2021-03-06,0,0,0,0,0,0,central_ha
2021-03-05,0,0,0,0,0,0,central_ha
2021-03-04,0,1,0,0,0,0,central_ha
2021-03-03,0,0,0,0,0,0,central_ha
2021-03-02,0,1,0,0,0,0,central_ha
2021-03-01,0,0,0,0,0,0,central_ha
2021-02-28,0,0,0,0,0,0,central_ha
2021-02-26,0,1,0,0,0,0,central_ha
2021-02-25,0,0,0,0,0,0,central_ha
2021-02-23,0,0,0,0,0,0,central_ha
2021-02-22,0,0,0,0,1,0,central_ha
2021-02-21,0,0,0,0,0,0,central_ha
2021-02-20,0,0,0,0,0,0,central_ha
2021-02-19,0,0,0,0,0,0,central_ha
2021-02-18,0,0,0,0,0,0,central_ha
2021-02-17,0,0,0,0,2,0,central_ha
2021-02-16,0,0,0,0,0,0,central_ha
2021-02-15,0,0,0,1,0,0,central_ha
2021-02-14,0,1,0,0,0,0,central_ha
2021-02-13,0,0,0,0,0,0,central_ha
2021-02-12,0,2,0,1,0,0,central_ha
2021-02-11,0,0,0,0,1,0,central_ha
2021-02-10,0,0,0,0,0,0,central_ha
2021-02-09,0,0,0,0,0,0,central_ha
2021-02-08,0,0,0,0,0,0,central_ha
2021-02-07,0,0,0,0,0,0,central_ha
2021-02-06,0,0,0,0,0,0,central_ha
2021-02-04,0,0,0,0,0,0,central_ha
2021-02-03,0,0,0,0,0,0,central_ha
2020-12-09,0,0,0,0,0,0,central_ha
2020-04-30,0,0,0,0,0,0,central_ha
2022-01-17,6,9,8,1,1,0,western_ha
2022-01-14,8,17,3,3,3,5,western_ha
2022-01-13,1,11,5,9,3,21,western_ha
2022-01-12,5,23,13,12,5,6,western_ha
2022-01-11,8,14,5,5,3,2,western_ha
2022-01-10,6,15,7,8,3,0,western_ha
2022-01-07,7,24,11,17,11,29,western_ha
2022-01-06,6,15,6,6,4,4,western_ha
2022-01-05,7,21,9,7,5,8,western_ha
2022-01-04,9,11,5,5,1,2,western_ha
2022-01-03,5,17,7,8,2,4,western_ha
2021-12-31,2,9,7,4,1,2,western_ha
2021-12-30,4,7,7,2,1,1,western_ha
2021-12-29,4,16,1,4,2,3,western_ha
2021-12-24,10,6,7,1,1,1,western_ha
2021-12-23,1,4,1,1,0,0,western_ha
2021-12-22,6,2,1,1,2,0,western_ha
2021-12-21,5,2,0,0,1,0,western_ha
2021-12-20,6,3,1,0,3,0,western_ha
2021-12-19,2,0,0,0,0,0,western_ha
2021-12-17,16,10,3,2,0,0,western_ha
2021-12-15,4,1,1,2,1,0,western_ha
2021-12-13,0,0,0,0,0,0,western_ha
2021-12-08,0,0,0,0,0,0,western_ha
2021-12-03,0,0,0,0,0,0,western_ha
2021-11-29,0,2,0,0,0,0,western_ha
2021-11-26,0,1,0,0,0,0,western_ha
2021-11-24,0,0,0,0,0,0,western_ha
2021-11-22,0,0,0,0,0,0,western_ha
2021-11-19,0,0,0,0,0,0,western_ha
2021-11-17,0,0,0,0,0,0,western_ha
2021-11-15,0,0,0,0,0,0,western_ha
2021-11-12,0,0,0,0,0,0,western_ha
2021-11-10,0,0,0,0,0,0,western_ha
2021-11-08,0,0,0,0,0,0,western_ha
2021-11-05,0,0,0,2,0,0,western_ha
2021-11-03,0,0,0,0,0,0,western_ha
2021-11-01,0,0,0,0,0,0,western_ha
2021-10-29,0,0,0,0,0,0,western_ha
2021-10-27,0,0,0,1,0,0,western_ha
2021-10-25,0,0,0,0,0,0,western_ha
2021-10-22,0,0,0,0,0,0,western_ha
2021-10-20,0,0,0,1,0,0,western_ha
2021-10-18,0,0,1,0,4,0,western_ha
2021-10-15,0,0,0,1,0,0,western_ha
2021-10-13,0,0,1,0,0,0,western_ha
2021-10-12,0,1,0,0,0,0,western_ha
2021-10-08,0,0,1,0,0,0,western_ha
2021-10-07,0,0,0,0,0,0,western_ha
2021-10-06,0,0,0,0,0,0,western_ha
2021-10-05,0,0,0,0,0,0,western_ha
2021-10-04,0,1,0,0,0,0,western_ha
2021-10-02,0,0,0,0,0,0,western_ha
2021-10-01,0,0,0,0,0,0,western_ha
2021-09-29,0,0,0,0,0,0,western_ha
2021-09-28,0,0,0,0,0,0,western_ha
2021-09-27,0,0,0,0,0,0,western_ha
2021-09-26,0,0,0,0,0,0,western_ha
2021-09-25,0,0,0,0,0,0,western_ha
2021-09-24,0,0,2,1,0,0,western_ha
2021-09-22,0,0,0,0,0,0,western_ha
2021-09-21,0,0,0,0,0,0,western_ha
2021-09-20,0,0,0,0,0,0,western_ha
2021-09-17,0,0,0,0,0,0,western_ha
2021-09-15,1,1,1,0,1,0,western_ha
2021-09-13,0,0,0,0,0,0,western_ha
2021-09-10,0,0,0,0,0,0,western_ha
2021-09-06,0,0,0,1,0,0,western_ha
2021-08-30,0,0,0,0,0,0,western_ha
2021-08-13,0,0,0,0,0,0,western_ha
2021-08-02,0,0,0,0,0,0,western_ha
2021-06-02,6,1,0,0,1,0,western_ha
2021-05-30,1,1,0,0,0,0,western_ha
2021-05-29,3,1,0,0,1,0,western_ha
2021-05-28,2,1,1,0,0,0,western_ha
2021-05-23,2,0,0,0,0,0,western_ha
2021-05-22,1,0,0,0,0,0,western_ha
2021-05-21,0,0,0,0,0,0,western_ha
2021-05-20,0,0,0,0,0,0,western_ha
2021-05-15,0,0,0,0,0,0,western_ha
2021-05-13,0,0,0,0,0,0,western_ha
2021-05-12,0,0,0,0,0,0,western_ha
2021-05-11,0,0,0,0,0,0,western_ha
2021-05-09,0,0,0,0,0,0,western_ha
2021-05-08,0,0,0,0,0,0,western_ha
2021-05-07,0,0,0,0,0,0,western_ha
2021-04-30,0,0,0,0,0,0,western_ha
2021-04-28,0,0,0,0,0,0,western_ha
2021-04-26,0,0,0,0,0,0,western_ha
2021-04-24,0,0,0,0,0,0,western_ha
2021-04-22,0,0,0,0,0,0,western_ha
2021-04-21,0,0,0,0,0,0,western_ha
2021-04-16,0,0,0,0,0,0,western_ha
2021-04-15,0,0,0,0,0,0,western_ha
2021-04-08,0,0,0,0,0,0,western_ha
2021-04-05,0,0,0,0,0,0,western_ha
2021-04-01,0,0,0,0,0,0,western_ha
2021-03-15,0,0,0,0,0,0,western_ha
2021-03-14,0,0,0,0,0,0,western_ha
2021-03-13,0,0,0,0,0,0,western_ha
2021-03-12,0,0,0,0,0,0,western_ha
2021-03-11,0,0,0,0,0,0,western_ha
2021-03-10,0,0,0,0,0,0,western_ha
2021-03-09,0,0,0,0,0,0,western_ha
2021-03-08,0,0,0,0,0,0,western_ha
2021-03-07,0,0,0,0,0,0,western_ha
2021-03-06,0,0,0,0,0,0,western_ha
2021-03-05,0,0,0,0,0,0,western_ha
2021-03-04,0,0,0,0,0,0,western_ha
2021-03-03,0,0,0,0,0,0,western_ha
2021-03-02,0,0,0,0,0,0,western_ha
2021-03-01,0,0,0,0,0,0,western_ha
2021-02-28,0,0,0,0,0,0,western_ha
2021-02-26,0,0,0,0,0,0,western_ha
2021-02-25,0,0,0,0,0,0,western_ha
2021-02-23,0,0,0,0,0,0,western_ha
2021-02-22,0,0,0,1,0,0,western_ha
2021-02-21,0,0,0,0,0,0,western_ha
2021-02-20,0,0,0,0,0,0,western_ha
2021-02-19,0,0,0,0,0,0,western_ha
2021-02-18,0,0,0,0,0,0,western_ha
2021-02-17,0,0,0,0,0,0,western_ha
2021-02-16,0,0,0,0,0,0,western_ha
2021-02-15,0,0,0,0,0,0,western_ha
2021-02-14,0,0,0,0,0,0,western_ha
2021-02-13,0,0,0,0,0,0,western_ha
2021-02-12,0,0,0,0,0,0,western_ha
2021-02-11,0,0,0,0,0,0,western_ha
2021-02-10,0,0,0,0,0,0,western_ha
2021-02-09,0,0,0,0,0,0,western_ha
2021-02-08,0,0,0,0,0,0,western_ha
2021-02-07,0,0,0,0,0,0,western_ha
2021-02-06,0,0,0,0,0,0,western_ha
2021-02-04,0,0,0,0,0,0,western_ha
2021-02-03,0,0,0,0,0,0,western_ha
2020-12-09,0,0,0,0,0,0,western_ha
2020-04-30,0,0,0,0,0,0,western_ha
2022-01-17,0,1,0,0,0,0,labradorgrenfell_ha
2022-01-14,13,21,5,10,0,2,labradorgrenfell_ha
2022-01-13,8,26,9,4,3,2,labradorgrenfell_ha
2022-01-12,16,33,15,12,2,7,labradorgrenfell_ha
2022-01-11,19,20,9,9,9,4,labradorgrenfell_ha
2022-01-10,11,21,11,14,2,5,labradorgrenfell_ha
2022-01-07,14,35,14,17,3,2,labradorgrenfell_ha
2022-01-06,9,22,7,15,2,4,labradorgrenfell_ha
2022-01-05,35,22,8,18,7,7,labradorgrenfell_ha
2022-01-04,27,49,16,19,6,8,labradorgrenfell_ha
2022-01-03,35,38,20,18,9,5,labradorgrenfell_ha
2021-12-31,19,41,14,14,3,1,labradorgrenfell_ha
2021-12-30,17,23,10,12,4,0,labradorgrenfell_ha
2021-12-29,0,12,1,1,2,0,labradorgrenfell_ha
2021-12-24,0,3,1,0,0,0,labradorgrenfell_ha
2021-12-23,0,0,0,1,0,0,labradorgrenfell_ha
2021-12-22,0,0,0,0,0,0,labradorgrenfell_ha
2021-12-21,0,0,0,0,0,0,labradorgrenfell_ha
2021-12-20,0,0,0,0,0,0,labradorgrenfell_ha
2021-12-19,0,9,1,3,0,0,labradorgrenfell_ha
2021-12-17,0,0,0,0,0,0,labradorgrenfell_ha
2021-12-15,0,0,0,0,0,0,labradorgrenfell_ha
2021-12-13,0,0,0,0,0,0,labradorgrenfell_ha
2021-12-08,0,0,0,0,0,0,labradorgrenfell_ha
2021-12-03,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-29,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-26,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-24,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-22,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-19,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-17,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-15,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-12,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-10,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-08,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-05,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-03,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-01,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-29,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-27,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-25,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-22,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-20,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-18,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-15,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-13,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-12,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-08,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-07,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-06,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-05,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-04,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-02,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-01,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-29,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-28,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-27,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-26,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-25,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-24,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-22,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-21,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-20,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-17,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-15,0,0,0,0,0,1,labradorgrenfell_ha
2021-09-13,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-10,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-06,0,0,0,0,1,1,labradorgrenfell_ha
2021-08-30,0,0,0,0,1,0,labradorgrenfell_ha
2021-08-13,0,0,0,0,0,0,labradorgrenfell_ha
2021-08-02,0,0,0,0,0,0,labradorgrenfell_ha
2021-06-02,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-30,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-29,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-28,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-23,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-22,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-21,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-20,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-15,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-13,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-12,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-11,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-09,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-08,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-07,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-30,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-28,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-26,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-24,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-22,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-21,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-16,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-15,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-08,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-05,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-01,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-15,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-14,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-13,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-12,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-11,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-10,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-09,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-08,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-07,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-06,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-05,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-04,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-03,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-02,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-01,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-28,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-26,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-25,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-23,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-22,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-21,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-20,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-19,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-18,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-17,0,0,0,0,0,0,labradorgrenfell_ha
